iter	Logloss
0	0.6156641782
1	0.546281176
2	0.489062697
3	0.4391938782
4	0.3961529788
5	0.3602559456
6	0.3293189588
7	0.3018498572
8	0.2787641734
9	0.2590453244
10	0.2422243691
11	0.2281420026
12	0.2152956788
13	0.204499308
14	0.1955558903
15	0.1873756393
16	0.1800511247
17	0.174271826
18	0.1681802788
19	0.1630661605
20	0.1592766008
21	0.1558306305
22	0.1526919479
23	0.1494302361
24	0.1464256979
25	0.1440118502
26	0.1419749297
27	0.1401166711
28	0.138423686
29	0.1370650243
30	0.1356597677
31	0.1343085523
32	0.1331302455
33	0.132254863
34	0.1311635276
35	0.1302346995
36	0.1295039891
37	0.1286115018
38	0.1278890563
39	0.1272904451
40	0.1265944589
41	0.1259963284
42	0.1254927448
43	0.1249956105
44	0.1246103462
45	0.1241928825
46	0.1236552496
47	0.1233626851
48	0.1230092917
49	0.1227063355
50	0.1222399898
51	0.1219267521
52	0.1216324518
53	0.1213474978
54	0.1211462558
55	0.1209390452
56	0.1207061106
57	0.1204969028
58	0.1202328668
59	0.1199971184
60	0.1197867799
61	0.1195904383
62	0.119411988
63	0.1191914326
64	0.1188513731
65	0.1185860738
66	0.1184358601
67	0.1182185931
68	0.1180779066
69	0.1179864211
70	0.1177948174
71	0.1175811059
72	0.1173715926
73	0.1172198562
74	0.1170382524
75	0.1168836588
76	0.1167241444
77	0.1165269301
78	0.1165236065
79	0.1163459552
80	0.1161804934
81	0.1159937278
82	0.1159868038
83	0.1158233805
84	0.1157232734
85	0.115626172
86	0.1154702444
87	0.1154688431
88	0.1153354533
89	0.1151346161
90	0.1149906348
91	0.1149091631
92	0.1147745367
93	0.1145847528
94	0.1144811796
95	0.114363781
96	0.1141414389
97	0.1140874438
98	0.1139408283
99	0.1137916511
100	0.113604904
101	0.1136019261
102	0.1135600599
103	0.1134794089
104	0.1133302758
105	0.1132142205
106	0.1130705066
107	0.1130631087
108	0.1129805315
109	0.1129097823
110	0.1128231475
111	0.1127129611
112	0.1126224841
113	0.1124870055
114	0.1123816633
115	0.1122983427
116	0.1122419592
117	0.1122205303
118	0.1120566837
119	0.1120538172
120	0.1119924006
121	0.111947919
122	0.1119444882
123	0.1118417458
124	0.1117467292
125	0.1115491073
126	0.1114656773
127	0.1114159943
128	0.1113460215
129	0.1112069642
130	0.1111316253
131	0.1109970705
132	0.1109067909
133	0.1108513446
134	0.1107904628
135	0.1106908357
136	0.1106280282
137	0.1105897271
138	0.110544017
139	0.1104379773
140	0.1103277405
141	0.1102304751
142	0.1101763438
143	0.1101501101
144	0.1100981286
145	0.1099933501
146	0.1098845723
147	0.1097647288
148	0.1095725311
149	0.1094992146
150	0.1093688678
151	0.1092950699
152	0.1092078257
153	0.1091358064
154	0.1090525623
155	0.1089988937
156	0.1089747274
157	0.1088665528
158	0.1087565971
159	0.1086696766
160	0.1085952344
161	0.1085495671
162	0.1085054195
163	0.1084357203
164	0.1084270425
165	0.1083874198
166	0.1083632209
167	0.1083126715
168	0.1081998152
169	0.1081885709
170	0.1080856172
171	0.1080228725
172	0.1079183405
173	0.1078659738
174	0.1077444126
175	0.1076847922
176	0.1075942226
177	0.1074840311
178	0.1074349897
179	0.1074151655
180	0.1073703737
181	0.1073393242
182	0.1073368589
183	0.1072723076
184	0.1072698882
185	0.1072671905
186	0.107167731
187	0.1070727577
188	0.107067306
189	0.106970149
190	0.1069580537
191	0.1068173125
192	0.1067669692
193	0.1067038222
194	0.1066780549
195	0.106673794
196	0.1065922106
197	0.1064834718
198	0.1063513355
199	0.1062489587
200	0.1061955086
201	0.1061326754
202	0.1060261146
203	0.1060018257
204	0.1059101451
205	0.1058661762
206	0.1057352353
207	0.1056518778
208	0.1056463774
209	0.1056433176
210	0.1055421106
211	0.1055359651
212	0.1055169998
213	0.1054816812
214	0.1054787776
215	0.1054748434
216	0.1054090332
217	0.1053187921
218	0.1053138729
219	0.1053100513
220	0.1053079458
221	0.1053019315
222	0.1052984133
223	0.105294177
224	0.1052908285
225	0.1052874787
226	0.1052849563
227	0.1052824721
228	0.105275547
229	0.1052712009
230	0.1052688259
231	0.105267028
232	0.1052627814
233	0.1052605014
234	0.1052562246
235	0.1052326465
236	0.1052304397
237	0.1052255122
238	0.1052217188
239	0.1052176009
240	0.1051054599
241	0.1051012653
242	0.105091638
243	0.1050501004
244	0.1050480743
245	0.1050453144
246	0.1050413313
247	0.1050376238
248	0.1050186623
249	0.1050151832
250	0.1050114365
251	0.1050088206
252	0.1050060134
253	0.1050025522
254	0.1049993
255	0.104997544
256	0.1049950768
257	0.1049915602
258	0.1049857936
259	0.1049841671
260	0.1049794472
261	0.104977015
262	0.1049374637
263	0.1049315292
264	0.1049290527
265	0.1049259966
266	0.1049231385
267	0.1048930774
268	0.104890119
269	0.1048634268
270	0.1048618484
271	0.1048591316
272	0.1048571459
273	0.1048557661
274	0.1047790867
275	0.1047701633
276	0.1047351825
277	0.1046921361
278	0.1046896356
279	0.1046492783
280	0.1045373642
281	0.104461266
282	0.1044589112
283	0.1044569959
284	0.1044136327
285	0.1043152489
286	0.1042609473
287	0.1042363952
288	0.1041610218
289	0.1041319111
290	0.1041137669
291	0.1041123945
292	0.1040459863
293	0.1040032181
294	0.1039944452
295	0.1039710867
296	0.103898239
297	0.1038664392
298	0.1038273142
299	0.1037540213
300	0.1036963937
301	0.1035712083
302	0.1034590059
303	0.1034245989
304	0.1033552091
305	0.1032697388
306	0.1032533238
307	0.1031455969
308	0.1030399864
309	0.1030268493
310	0.1030057603
311	0.1029445465
312	0.1029106769
313	0.1029004289
314	0.1028137951
315	0.1027541602
316	0.1027466304
317	0.1027088116
318	0.1026506876
319	0.1025870831
320	0.102509021
321	0.1024991515
322	0.1024895631
323	0.1023767518
324	0.10228564
325	0.1021915695
326	0.1020917214
327	0.1020553336
328	0.1020056483
329	0.1019022775
330	0.1017859019
331	0.1017546698
332	0.1016585467
333	0.1016283251
334	0.1015787037
335	0.101537728
336	0.1014742995
337	0.1014154194
338	0.1013815454
339	0.1013720679
340	0.1013363706
341	0.1012409106
342	0.1011888325
343	0.1011453178
344	0.1011010789
345	0.1010892672
346	0.1010742783
347	0.1010295017
348	0.1010047384
349	0.1009189177
350	0.1008913767
351	0.100883753
352	0.1008692726
353	0.1008448698
354	0.1008042652
355	0.1007152492
356	0.1007128522
357	0.100709613
358	0.1005993903
359	0.1005763825
360	0.1005281232
361	0.1005216923
362	0.1005193167
363	0.100444424
364	0.1004310381
365	0.1004293196
366	0.1004269981
367	0.100424772
368	0.1004044831
369	0.1004021098
370	0.1003543869
371	0.1003523973
372	0.1003391467
373	0.100336335
374	0.1002940748
375	0.1002326141
376	0.1002116929
377	0.100172271
378	0.1001709183
379	0.1001097826
380	0.1000702662
381	0.1000269394
382	0.1000121491
383	0.09993439283
384	0.09983373711
385	0.09981194383
386	0.09971545257
387	0.09966800204
388	0.09959481691
389	0.09959139893
390	0.09958717441
391	0.0995326491
392	0.09952852017
393	0.09952173126
394	0.09943827784
395	0.0993940036
396	0.09938812845
397	0.099318319
398	0.09931110553
399	0.09926523312
400	0.0992515634
401	0.09914223478
402	0.09912899483
403	0.09905663932
404	0.09901441392
405	0.0990034432
406	0.0989783491
407	0.09897273238
408	0.09896539116
409	0.09895845557
410	0.09895612693
411	0.09895407195
412	0.09893288609
413	0.09893079428
414	0.0989243042
415	0.09888489443
416	0.09886324448
417	0.09885526213
418	0.09883656248
419	0.0987411202
420	0.09869708541
421	0.09868940648
422	0.09855020249
423	0.09854099575
424	0.09844589924
425	0.09843210814
426	0.09841919704
427	0.09833070704
428	0.09832494589
429	0.09829049702
430	0.0982788275
431	0.09821646277
432	0.09814115614
433	0.09810881442
434	0.09802874901
435	0.09795566782
436	0.09794180858
437	0.09790990233
438	0.0978558109
439	0.09783102535
440	0.09782488784
441	0.09779954725
442	0.09779517279
443	0.09775858717
444	0.09768758159
445	0.0976657162
446	0.09766389866
447	0.09760339499
448	0.09757195195
449	0.09756895191
450	0.0975394106
451	0.09752203791
452	0.09752032908
453	0.09751812954
454	0.09743892435
455	0.09742799842
456	0.09742284147
457	0.09740800113
458	0.09739611075
459	0.0973219085
460	0.09732016058
461	0.09731482823
462	0.09721135848
463	0.09716241698
464	0.09714470876
465	0.09713949516
466	0.09705228402
467	0.09704725641
468	0.09700187085
469	0.09699836624
470	0.09691207861
471	0.09687246779
472	0.09684688494
473	0.09684464326
474	0.09679762525
475	0.09678165344
476	0.0967196677
477	0.09661037342
478	0.09660780236
479	0.09659185691
480	0.09657864243
481	0.09650632525
482	0.09650323365
483	0.09648559331
484	0.09643097774
485	0.09636686888
486	0.09635461894
487	0.09627486239
488	0.09625633415
489	0.09624146975
490	0.09617976412
491	0.09616854545
492	0.09614114687
493	0.0961387498
494	0.09613288301
495	0.09612160965
496	0.09611022993
497	0.0960776103
498	0.09605408611
499	0.09601453181
500	0.09597704305
501	0.09595550587
502	0.09594408242
503	0.09594051493
504	0.09593727965
505	0.09592946261
506	0.09585896514
507	0.0958569707
508	0.09579536762
509	0.09579132461
510	0.09578955221
511	0.09578046991
512	0.09577895654
513	0.09576945682
514	0.09572555265
515	0.09565402821
516	0.09563964272
517	0.09562337779
518	0.09558005033
519	0.09556098309
520	0.09546694154
521	0.09544789546
522	0.09542012745
523	0.09540540496
524	0.09540334664
525	0.09538772128
526	0.09526478787
527	0.09524591176
528	0.09524276985
529	0.0952371986
530	0.09519924664
531	0.09519594031
532	0.09518192584
533	0.09518007842
534	0.09516644094
535	0.0951639667
536	0.09510870205
537	0.09509406381
538	0.09508045364
539	0.09499380528
540	0.09499094803
541	0.0949884803
542	0.09498323981
543	0.09497996048
544	0.09497735536
545	0.09497657503
546	0.09497166048
547	0.09497008241
548	0.09493724052
549	0.09492519536
550	0.09487316399
551	0.09487124599
552	0.0948695933
553	0.0948526788
554	0.09477625058
555	0.09475702572
556	0.09474647945
557	0.09474533012
558	0.09473179967
559	0.0946728046
560	0.0946611996
561	0.09464960829
562	0.09464847841
563	0.09463220144
564	0.09462205922
565	0.0946080369
566	0.09453734892
567	0.09452375472
568	0.09445394176
569	0.09441930619
570	0.09440525072
571	0.09437144955
572	0.09436333022
573	0.09434379019
574	0.09431272142
575	0.0943010277
576	0.09429888747
577	0.09429667239
578	0.09429558787
579	0.09422461333
580	0.09415504648
581	0.09415115785
582	0.0941358408
583	0.09407034956
584	0.09403959028
585	0.09403849676
586	0.0940203376
587	0.09400613651
588	0.09393298094
589	0.09391544898
590	0.09389263699
591	0.09383552148
592	0.09381617783
593	0.09380052735
594	0.09372354816
595	0.09371064211
596	0.09370206044
597	0.09364170883
598	0.09362690584
599	0.09353481314
