iter	Passed	Remaining
0	95	57172
1	205	61484
2	311	61994
3	417	62223
4	507	60339
5	612	60615
6	712	60373
7	809	59888
8	920	60429
9	1011	59685
10	1099	58892
11	1205	59086
12	1292	58359
13	1390	58189
14	1498	58434
15	1605	58595
16	1701	58361
17	1805	58383
18	1902	58183
19	2008	58234
20	2130	58743
21	2238	58809
22	2337	58630
23	2422	58131
24	2507	57668
25	2604	57507
26	2709	57503
27	2813	57476
28	2905	57217
29	2984	56712
30	3067	56309
31	3163	56156
32	3246	55772
33	3339	55600
34	3436	55480
35	3544	55537
36	3643	55441
37	3746	55409
38	3847	55344
39	3948	55276
40	4070	55495
41	4203	55844
42	4312	55863
43	4420	55863
44	4532	55900
45	4686	56440
46	4774	56180
47	4887	56208
48	5036	56634
49	5131	56445
50	5233	56334
51	5337	56249
52	5444	56187
53	5544	56062
54	5642	55915
55	5731	55676
56	5838	55621
57	5945	55559
58	6054	55519
59	6158	55422
60	6259	55313
61	6365	55233
62	6469	55145
63	6574	55065
64	6657	54795
65	6740	54533
66	6841	54428
67	6926	54192
68	7029	54094
69	7129	53982
70	7236	53916
71	7334	53789
72	7436	53686
73	7542	53615
74	7640	53481
75	7739	53360
76	7835	53221
77	7923	53029
78	7960	52496
79	8046	52303
80	8148	52212
81	8258	52168
82	8379	52196
83	8482	52104
84	8592	52059
85	8701	52004
86	8805	51924
87	8883	51686
88	9014	51756
89	9115	51654
90	9215	51548
91	9321	51473
92	9411	51309
93	9503	51157
94	9596	51012
95	9698	50918
96	9797	50806
97	9892	50676
98	9993	50575
99	10100	50501
100	10196	50374
101	10228	49938
102	10322	49806
103	10417	49681
104	10524	49616
105	10629	49537
106	10727	49425
107	10769	49063
108	10870	48967
109	10980	48912
110	11084	48830
111	11176	48695
112	11280	48616
113	11366	48456
114	11450	48290
115	11552	48202
116	11640	48053
117	11688	47743
118	11781	47622
119	11855	47423
120	11945	47286
121	12049	47211
122	12108	46958
123	12208	46865
124	12316	46801
125	12409	46681
126	12508	46588
127	12595	46444
128	12700	46370
129	12796	46265
130	12901	46188
131	12994	46070
132	13088	45957
133	13182	45843
134	13281	45747
135	13376	45637
136	13474	45537
137	13564	45413
138	13668	45332
139	13757	45204
140	13861	45124
141	13957	45018
142	14120	45126
143	14225	45045
144	14333	44979
145	14419	44838
146	14508	44709
147	14601	44592
148	14700	44496
149	14804	44414
150	14911	44338
151	14996	44200
152	15106	44133
153	15209	44049
154	15314	43966
155	15418	43882
156	15520	43792
157	15601	43645
158	15685	43506
159	15774	43381
160	15876	43289
161	15969	43177
162	16079	43108
163	16179	43014
164	16289	42944
165	16373	42808
166	16481	42732
